token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps	event
0-0	PKP125	0	okay	okay	linguistic	none	_	Begin=5.528|End=5.741	_	_	_	_	_
1-0	PKP125	1	ma	ma	linguistic	none	_	Begin=9.476	_	_	_	_	_
1-1	PKP125	1	daniele	daniele	linguistic	none	_	_	_	_	_	_	_
1-2	PKP125	1	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_	_
1-3	PKP125	1	ha	ha	linguistic	none	_	_	_	_	_	_	_
1-4	PKP125	1	fatta	fatta	linguistic	none	_	_	_	_	_	_	_
1-5	PKP125	1	la	la	linguistic	none	_	_	_	_	_	_	_
1-6	PKP125	1	vaccinazione	vaccinazione	linguistic	none	_	_	_	_	_	_	_
1-7	PKP125	1	stamat[tina]?	stamattina	linguistic	none	Intonation=Rising	End=12.002	_	_	_	5-10(0)	_
2-0	PKP130	2	m:hm:h	mhmh	linguistic	none	_	Begin=11.838|End=12.31	0x1,2x1	_	_	_	_
3-0	PKP125	3	ma	ma	linguistic	none	_	Begin=13.91	_	_	_	_	_
3-1	PKP125	3	che	che	linguistic	none	_	_	_	_	_	_	_
3-2	PKP125	3	vac~	vac~	linguistic	none	Interrupted=Yes	_	_	_	_	_	_
3-3	PKP125	3	zione	zione	linguistic	none	_	_	_	_	_	_	_
3-4	PKP125	3	era?	era	linguistic	none	Intonation=Rising	End=15.054	_	_	_	_	_
4-0	PKP130	4	e:h	eh	linguistic	none	_	Begin=17.778	0x1	_	_	_	FP
4-1	PKP130	4	una	una	linguistic	none	_	_	_	_	_	_	_
4-2	PKP130	4	delle	delle	linguistic	none	_	_	_	_	_	_	_
4-3	PKP130	4	vaccinazioni	vaccinazioni	linguistic	none	_	End=18.94	_	_	_	_	_
5-0	PKP130	5	la	la	linguistic	none	_	Begin=21.558	_	_	_	_	_
5-1	PKP130	5	trivalente	trivalente	linguistic	none	_	_	_	_	_	_	_
5-2	PKP130	5	mi	mi	linguistic	none	_	_	_	_	_	_	_
5-3	PKP130	5	pare	pare	linguistic	none	_	End=22.452	_	_	_	_	_
6-0	PKP125	6	la	la	linguistic	none	_	Begin=23.203	_	_	_	_	_
6-1	PKP125	6	trivalente?	trivalente	linguistic	none	Intonation=Rising	End=23.986	_	_	_	_	_
7-0	PKP130	7	m:h	mh	linguistic	none	_	Begin=24.49|End=24.741	0x1	_	_	_	_
8-0	PKP125	8	e	e	linguistic	none	_	Begin=26.144	_	_	_	_	_
8-1	PKP125	8	già	già	linguistic	none	_	_	_	_	_	_	_
8-2	PKP125	8	si	si	linguistic	none	_	_	_	_	_	_	_
8-3	PKP125	8	fa?	fa	linguistic	none	Intonation=Rising	End=26.765	_	_	_	_	_
9-0	PKP130	9	#ja	ja	linguistic	some	_	Begin=29.314	_	_	_	_	_
